,PubchemFP19,PubchemFP50,PubchemFP82,PubchemFP167,PubchemFP192,PubchemFP377,PubchemFP384,PubchemFP420,PubchemFP443,PubchemFP470,PubchemFP490,PubchemFP495,PubchemFP535,PubchemFP540,PubchemFP552,PubchemFP570,PubchemFP574,PubchemFP578,PubchemFP589,PubchemFP651,PubchemFP677,PubchemFP692,PubchemFP696,PubchemFP699,PubchemFP700,PubchemFP705,PubchemFP728,PubchemFP743,PubchemFP746,PubchemFP756
1143,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,1.1233291147981253,1.022597854090813,1.1171828017298575,1.131070726194574,1.0337443837721163,-0.4868453814720198,-0.7547229963869122,1.8357076251971882,1.131070726194574,1.1264178639834663,1.7844147436448483,1.131070726194574,-0.3210326876770217,2.0630627130572443,1.131070726194574,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,3.0903074280724887
1069,-1.5376815965871855,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,1.1233291147981253,1.022597854090813,1.1171828017298575,1.131070726194574,1.0337443837721163,-0.4868453814720198,1.3249894395523962,-0.544749058223573,1.131070726194574,1.1264178639834663,-0.5604078331909532,1.131070726194574,-0.3210326876770217,-0.4847162394390348,1.131070726194574,1.7647113441392346,1.2243994349522287,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
953,-1.5376815965871855,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,-0.8902110582077376,-0.9779015240444597,-0.8951086594347761,-0.8841180103426826,-0.9673571297684023,2.054040231369582,-0.7547229963869122,1.8357076251971882,-0.8841180103426826,-0.8877700114445963,-0.5604078331909532,-0.8841180103426826,-0.3210326876770217,-0.4847162394390348,-0.8841180103426826,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
95,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,1.8716433368801346,1.1233291147981253,1.022597854090813,1.1171828017298575,1.131070726194574,1.0337443837721163,2.054040231369582,-0.7547229963869122,-0.544749058223573,1.131070726194574,1.1264178639834663,-0.5604078331909532,1.131070726194574,-0.3210326876770217,-0.4847162394390348,1.131070726194574,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
410,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,1.1233291147981253,1.022597854090813,1.1171828017298575,1.131070726194574,1.0337443837721163,-0.4868453814720198,1.3249894395523962,1.8357076251971882,1.131070726194574,1.1264178639834663,-0.5604078331909532,1.131070726194574,-0.3210326876770217,-0.4847162394390348,1.131070726194574,1.7647113441392346,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
894,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,-0.8902110582077376,1.022597854090813,1.1171828017298575,-0.8841180103426826,-0.9673571297684023,-0.4868453814720198,-0.7547229963869122,-0.544749058223573,-0.8841180103426826,-0.8877700114445963,-0.5604078331909532,-0.8841180103426826,-0.3210326876770217,-0.4847162394390348,-0.8841180103426826,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
373,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,2.1191286699260625,1.8716433368801346,1.1233291147981253,1.022597854090813,1.1171828017298575,1.131070726194574,1.0337443837721163,2.054040231369582,1.3249894395523962,-0.544749058223573,1.131070726194574,1.1264178639834663,-0.5604078331909532,1.131070726194574,-0.3210326876770217,-0.4847162394390348,1.131070726194574,1.7647113441392346,1.2243994349522287,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,3.7308433254683746,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
875,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,2.1191286699260625,1.8716433368801346,1.1233291147981253,-0.9779015240444597,-0.8951086594347761,1.131070726194574,1.0337443837721163,2.054040231369582,-0.7547229963869122,-0.544749058223573,1.131070726194574,1.1264178639834663,1.7844147436448483,1.131070726194574,-0.3210326876770217,2.0630627130572443,1.131070726194574,-0.5666649128318293,-0.8167269368586536,2.396725315392426,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,4.623720134133107,-0.3235924008452868
477,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,-0.8902110582077376,1.022597854090813,1.1171828017298575,-0.8841180103426826,-0.9673571297684023,-0.4868453814720198,1.3249894395523962,1.8357076251971882,-0.8841180103426826,-0.8877700114445963,-0.5604078331909532,-0.8841180103426826,-0.3210326876770217,-0.4847162394390348,-0.8841180103426826,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
935,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,-0.8902110582077376,1.022597854090813,1.1171828017298575,-0.8841180103426826,-0.9673571297684023,-0.4868453814720198,1.3249894395523962,1.8357076251971882,-0.8841180103426826,-0.8877700114445963,-0.5604078331909532,-0.8841180103426826,-0.3210326876770217,-0.4847162394390348,-0.8841180103426826,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
965,-1.5376815965871855,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,-0.8902110582077376,-0.9779015240444597,-0.8951086594347761,-0.8841180103426826,-0.9673571297684023,-0.4868453814720198,-0.7547229963869122,1.8357076251971882,-0.8841180103426826,-0.8877700114445963,-0.5604078331909532,-0.8841180103426826,-0.3210326876770217,-0.4847162394390348,-0.8841180103426826,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
1392,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,1.1233291147981253,1.022597854090813,1.1171828017298575,1.131070726194574,1.0337443837721163,-0.4868453814720198,1.3249894395523962,-0.544749058223573,1.131070726194574,1.1264178639834663,1.7844147436448483,1.131070726194574,-0.3210326876770217,2.0630627130572443,1.131070726194574,1.7647113441392346,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,3.0903074280724887
593,-1.5376815965871855,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,1.1233291147981253,-0.9779015240444597,-0.8951086594347761,1.131070726194574,1.0337443837721163,2.054040231369582,-0.7547229963869122,1.8357076251971882,1.131070726194574,1.1264178639834663,-0.5604078331909532,1.131070726194574,-0.3210326876770217,-0.4847162394390348,1.131070726194574,-0.5666649128318293,1.2243994349522287,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
1455,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,-0.8902110582077376,-0.9779015240444597,-0.8951086594347761,-0.8841180103426826,-0.9673571297684023,-0.4868453814720198,-0.7547229963869122,-0.544749058223573,-0.8841180103426826,-0.8877700114445963,-0.5604078331909532,-0.8841180103426826,-0.3210326876770217,-0.4847162394390348,-0.8841180103426826,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
744,-1.5376815965871855,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,-0.8902110582077376,-0.9779015240444597,-0.8951086594347761,-0.8841180103426826,-0.9673571297684023,-0.4868453814720198,-0.7547229963869122,-0.544749058223573,-0.8841180103426826,-0.8877700114445963,-0.5604078331909532,-0.8841180103426826,-0.3210326876770217,-0.4847162394390348,-0.8841180103426826,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
1185,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,1.1233291147981253,1.022597854090813,1.1171828017298575,1.131070726194574,1.0337443837721163,-0.4868453814720198,1.3249894395523962,-0.544749058223573,1.131070726194574,1.1264178639834663,1.7844147436448483,1.131070726194574,-0.3210326876770217,-0.4847162394390348,1.131070726194574,1.7647113441392346,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
75,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,2.1191286699260625,1.8716433368801346,1.1233291147981253,1.022597854090813,1.1171828017298575,1.131070726194574,1.0337443837721163,-0.4868453814720198,1.3249894395523962,-0.544749058223573,1.131070726194574,1.1264178639834663,1.7844147436448483,1.131070726194574,-0.3210326876770217,2.0630627130572443,1.131070726194574,1.7647113441392346,1.2243994349522287,2.396725315392426,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,3.0903074280724887
401,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,1.8716433368801346,1.1233291147981253,-0.9779015240444597,-0.8951086594347761,1.131070726194574,1.0337443837721163,-0.4868453814720198,-0.7547229963869122,-0.544749058223573,1.131070726194574,1.1264178639834663,-0.5604078331909532,1.131070726194574,-0.3210326876770217,-0.4847162394390348,1.131070726194574,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
741,-1.5376815965871855,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,-0.8902110582077376,-0.9779015240444597,-0.8951086594347761,-0.8841180103426826,-0.9673571297684023,-0.4868453814720198,-0.7547229963869122,-0.544749058223573,-0.8841180103426826,-0.8877700114445963,-0.5604078331909532,-0.8841180103426826,-0.3210326876770217,-0.4847162394390348,-0.8841180103426826,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
274,-1.5376815965871855,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,2.1191286699260625,-0.5342898298491593,1.1233291147981253,-0.9779015240444597,-0.8951086594347761,1.131070726194574,1.0337443837721163,-0.4868453814720198,-0.7547229963869122,-0.544749058223573,1.131070726194574,1.1264178639834663,-0.5604078331909532,1.131070726194574,-0.3210326876770217,-0.4847162394390348,1.131070726194574,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
1256,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,1.1233291147981253,1.022597854090813,1.1171828017298575,1.131070726194574,1.0337443837721163,-0.4868453814720198,1.3249894395523962,-0.544749058223573,1.131070726194574,1.1264178639834663,-0.5604078331909532,1.131070726194574,-0.3210326876770217,-0.4847162394390348,1.131070726194574,-0.5666649128318293,1.2243994349522287,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
658,-1.5376815965871855,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,-0.8902110582077376,-0.9779015240444597,-0.8951086594347761,-0.8841180103426826,-0.9673571297684023,-0.4868453814720198,-0.7547229963869122,1.8357076251971882,-0.8841180103426826,-0.8877700114445963,-0.5604078331909532,-0.8841180103426826,-0.3210326876770217,-0.4847162394390348,-0.8841180103426826,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
595,-1.5376815965871855,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,1.8716433368801346,1.1233291147981253,-0.9779015240444597,-0.8951086594347761,1.131070726194574,1.0337443837721163,-0.4868453814720198,-0.7547229963869122,-0.544749058223573,1.131070726194574,1.1264178639834663,-0.5604078331909532,1.131070726194574,-0.3210326876770217,-0.4847162394390348,1.131070726194574,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
236,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,-0.8902110582077376,1.022597854090813,-0.8951086594347761,-0.8841180103426826,-0.9673571297684023,-0.4868453814720198,-0.7547229963869122,-0.544749058223573,-0.8841180103426826,-0.8877700114445963,-0.5604078331909532,-0.8841180103426826,-0.3210326876770217,-0.4847162394390348,-0.8841180103426826,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
942,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,1.1233291147981253,1.022597854090813,1.1171828017298575,1.131070726194574,1.0337443837721163,-0.4868453814720198,1.3249894395523962,-0.544749058223573,1.131070726194574,1.1264178639834663,-0.5604078331909532,1.131070726194574,-0.3210326876770217,-0.4847162394390348,1.131070726194574,1.7647113441392346,1.2243994349522287,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
1188,-1.5376815965871855,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,-0.8902110582077376,1.022597854090813,1.1171828017298575,-0.8841180103426826,-0.9673571297684023,-0.4868453814720198,1.3249894395523962,1.8357076251971882,-0.8841180103426826,-0.8877700114445963,-0.5604078331909532,-0.8841180103426826,-0.3210326876770217,-0.4847162394390348,-0.8841180103426826,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
471,-1.5376815965871855,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,-0.8902110582077376,-0.9779015240444597,-0.8951086594347761,-0.8841180103426826,-0.9673571297684023,-0.4868453814720198,-0.7547229963869122,-0.544749058223573,-0.8841180103426826,-0.8877700114445963,-0.5604078331909532,-0.8841180103426826,-0.3210326876770217,-0.4847162394390348,-0.8841180103426826,-0.5666649128318293,-0.8167269368586536,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
733,0.6503296925835979,-0.026028960314767677,-0.026028960314767677,-0.026028960314767674,-0.47189206308784015,-0.5342898298491593,-0.8902110582077376,-0.9779015240444597,-0.8951086594347761,-0.8841180103426826,-0.9673571297684023,-0.4868453814720198,-0.7547229963869122,-0.544749058223573,-0.8841180103426826,-0.8877700114445963,-0.5604078331909532,-0.8841180103426826,-0.3210326876770217,-0.4847162394390348,-0.8841180103426826,-0.5666649128318293,1.2243994349522287,-0.4172359650802395,-0.17726979721764954,-0.16029486718059452,-0.26803591380360603,-0.07379621638049094,-0.21627606580636788,-0.3235924008452868
